"latin","common","common_name","scientific_name"
"Bajacalifornia erimoensis","","","Bajacalifornia_erimoensis"
"Talismania bifurcata","threadfin slickhead","threadfin_slickhead","Talismania_bifurcata"
"Maulisia","","","Maulisia"
"Maulisia mauli","","","Maulisia_mauli"
"Ammodytes hexapterus","Pacific sand lance","Pacific_sand_lance","Ammodytes_hexapterus"
"Anarrhichthys ocellatus","wolf-eel","wolf-eel","Anarrhichthys_ocellatus"
"Anarhichas orientalis","Bering wolffish","Bering_wolffish","Anarhichas_orientalis"
"Anoplogaster cornuta","fangtooth","fangtooth","Anoplogaster_cornuta"
"Anoplopoma fimbria","sablefish","sablefish","Anoplopoma_fimbria"
"Aulorhynchus flavidus","tubesnout","tubesnout","Aulorhynchus_flavidus"
"Argentinidae","argentine unident.","argentine_unident.","Argentinidae"
"Nansenia candida","bluethroat argentine","bluethroat_argentine","Nansenia_candida"
"Argentina sialis","Pacific argentine","Pacific_argentine","Argentina_sialis"
"Atherinidae","old world silverside unident.","old_world_silverside_unident.","Atherinidae"
"Atherinops affinis","topsmelt","topsmelt","Atherinops_affinis"
"Engraulis mordax","northern anchovy","northern_anchovy","Engraulis_mordax"
"Bathylagidae","deepsea smelt unident.","deepsea_smelt_unident.","Bathylagidae"
"Bathylagus pacificus","Pacific blacksmelt","Pacific_blacksmelt","Bathylagus_pacificus"
"Bathylagus","blacksmelt unident.","blacksmelt_unident.","Bathylagus"
"Bathylagus milleri","robust blacksmelt","robust_blacksmelt","Bathylagus_milleri"
"Leuroglossus schmidti","northern smoothtongue","northern_smoothtongue","Leuroglossus_schmidti"
"Bathylagus ochotensis","popeye blacksmelt","popeye_blacksmelt","Bathylagus_ochotensis"
"Leuroglossus","","","Leuroglossus"
"Leuroglossus stilbius","California smoothtongue","California_smoothtongue","Leuroglossus_stilbius"
"Bathymasteridae","ronquil unident.","ronquil_unident.","Bathymasteridae"
"Ronquilus jordani","northern ronquil","northern_ronquil","Ronquilus_jordani"
"Bathymaster caeruleofasciatus","Alaskan ronquil","Alaskan_ronquil","Bathymaster_caeruleofasciatus"
"Bathymaster leurolepis","smallmouth ronquil","smallmouth_ronquil","Bathymaster_leurolepis"
"Bathymaster signatus","searcher","searcher","Bathymaster_signatus"
"Bathymaster derjugini","bluecheek ronquil","bluecheek_ronquil","Bathymaster_derjugini"
"Rathbunella hypoplecta","bluebanded ronquil","bluebanded_ronquil","Rathbunella_hypoplecta"
"Porichthys notatus","plainfin midshipman","plainfin_midshipman","Porichthys_notatus"
"Porichthys","","","Porichthys"
"Brama japonica","Pacific pomfret","Pacific_pomfret","Brama_japonica"
"Bathylaco nigricans","bonythroat","bonythroat","Bathylaco_nigricans"
"Ophidiidae","cusk-eel unident.","cusk-eel_unident.","Ophidiidae"
"Chilara taylori","spotted cusk-eel","spotted_cusk-eel","Chilara_taylori"
"Ophidion scrippsae","basketweave cusk-eel","basketweave_cusk-eel","Ophidion_scrippsae"
"Lamprogrammus niger","paperbone cusk-eel","paperbone_cusk-eel","Lamprogrammus_niger"
"Dicrolene","","","Dicrolene"
"Dicrolene filamentosa","threadfin cusk-eel","threadfin_cusk-eel","Dicrolene_filamentosa"
"Melanonus zugmayeri","arrowtail","arrowtail","Melanonus_zugmayeri"
"Cataetyx","","","Cataetyx"
"Cataetyx rubrirostris","rubynose brotula","rubynose_brotula","Cataetyx_rubrirostris"
"Brosmophycis marginata","red brotula","red_brotula","Brosmophycis_marginata"
"Trachurus symmetricus","jack mackerel","jack_mackerel","Trachurus_symmetricus"
"Ogcocephalioidei","","","Ogcocephalioidei"
"Melanocetus johnsonii","common blackdevil","common_blackdevil","Melanocetus_johnsonii"
"Ceratiidae","seadevil unident.","seadevil_unident.","Ceratiidae"
"Cryptopsaras couesii","triplewart seadevil","triplewart_seadevil","Cryptopsaras_couesii"
"Cetomimidae","flabby whalefish unident.","flabby_whalefish_unident.","Cetomimidae"
"Rondeletia loricata","armored redmouth whalefish","armored_redmouth_whalefish","Rondeletia_loricata"
"Chauliodontinae","viperfish unident.","viperfish_unident.","Chauliodontinae"
"Chauliodus macouni","Pacific viperfish","Pacific_viperfish","Chauliodus_macouni"
"Clupea pallasii","Pacific herring","Pacific_herring","Clupea_pallasii"
"Alosa sapidissima","American shad","American_shad","Alosa_sapidissima"
"Sardinops sagax","Pacific sardine","Pacific_sardine","Sardinops_sagax"
"Gigantactis","","","Gigantactis"
"Macrouridae","grenadier unident.","grenadier_unident.","Macrouridae"
"Nezumia stelgidolepis","California grenadier","California_grenadier","Nezumia_stelgidolepis"
"Nezumia liolepis","smooth grenadier","smooth_grenadier","Nezumia_liolepis"
"Caelorinchus scaphopsis","shoulderspot grenadier","shoulderspot_grenadier","Caelorinchus_scaphopsis"
"Coryphaenoides","","","Coryphaenoides"
"Coryphaenoides acrolepis","Pacific grenadier","Pacific_grenadier","Coryphaenoides_acrolepis"
"Albatrossia pectoralis","giant grenadier","giant_grenadier","Albatrossia_pectoralis"
"Coryphaenoides cinereus","popeye grenadier","popeye_grenadier","Coryphaenoides_cinereus"
"Coryphaenoides filifer","filamented grenadier","filamented_grenadier","Coryphaenoides_filifer"
"Coryphaenoides longifilis","longfin grenadier","longfin_grenadier","Coryphaenoides_longifilis"
"Malacocephalus laevis","softhead grenadier","softhead_grenadier","Malacocephalus_laevis"
"Cottidae","sculpin unident.","sculpin_unident.","Cottidae"
"Zesticelus profundorum","flabby sculpin","flabby_sculpin","Zesticelus_profundorum"
"Icelinus","","","Icelinus"
"Thyriscus anoplus","sponge sculpin","sponge_sculpin","Thyriscus_anoplus"
"Icelinus oculatus","frogmouth sculpin","frogmouth_sculpin","Icelinus_oculatus"
"Icelinus filamentosus","threadfin sculpin","threadfin_sculpin","Icelinus_filamentosus"
"Icelinus borealis","northern sculpin","northern_sculpin","Icelinus_borealis"
"Icelinus tenuis","spotfin sculpin","spotfin_sculpin","Icelinus_tenuis"
"Gymnocanthus","","","Gymnocanthus"
"Gymnocanthus pistilliger","","","Gymnocanthus_pistilliger"
"Gymnocanthus tricuspis","Arctic staghorn sculpin","Arctic_staghorn_sculpin","Gymnocanthus_tricuspis"
"Gymnocanthus galeatus","armorhead sculpin","armorhead_sculpin","Gymnocanthus_galeatus"
"Icelinus fimbriatus","fringed sculpin","fringed_sculpin","Icelinus_fimbriatus"
"Radulinus asprellus","slim sculpin","slim_sculpin","Radulinus_asprellus"
"Clinocottus acuticeps","sharpnose sculpin","sharpnose_sculpin","Clinocottus_acuticeps"
"Gymnocanthus detrisus","purplegray sculpin","purplegray_sculpin","Gymnocanthus_detrisus"
"Scorpaenichthys marmoratus","cabezon","cabezon","Scorpaenichthys_marmoratus"
"Artediellus","","","Artediellus"
"Artediellus miacanthus","bride sculpin","bride_sculpin","Artediellus_miacanthus"
"Artediellus scaber","hamecon","hamecon","Artediellus_scaber"
"Artediellus uncinatus","Arctic hookear sculpin","Arctic_hookear_sculpin","Artediellus_uncinatus"
"Artediellus gomojunovi","spinyhook sculpin","spinyhook_sculpin","Artediellus_gomojunovi"
"Bolinia euryptera","broadfin sculpin","broadfin_sculpin","Bolinia_euryptera"
"Thecopterus aleuticus","whitetail sculpin","whitetail_sculpin","Thecopterus_aleuticus"
"Malacocottus","","","Malacocottus"
"Malacocottus kincaidi","blackfin sculpin","blackfin_sculpin","Malacocottus_kincaidi"
"Malacocottus zonurus","darkfin sculpin","darkfin_sculpin","Malacocottus_zonurus"
"Hemilepidotus","Irish lord unident.","Irish_lord_unident.","Hemilepidotus"
"Hemilepidotus gilberti","banded Irish lord","banded_Irish_lord","Hemilepidotus_gilberti"
"Hemilepidotus spinosus","brown Irish lord","brown_Irish_lord","Hemilepidotus_spinosus"
"Hemilepidotus zapus","longfin Irish lord","longfin_Irish_lord","Hemilepidotus_zapus"
"Hemilepidotus hemilepidotus","red Irish lord","red_Irish_lord","Hemilepidotus_hemilepidotus"
"Hemilepidotus jordani","yellow Irish lord","yellow_Irish_lord","Hemilepidotus_jordani"
"Hemilepidotus papilio","butterfly sculpin","butterfly_sculpin","Hemilepidotus_papilio"
"Archistes plumarius","plumed sculpin","plumed_sculpin","Archistes_plumarius"
"Triglops","","","Triglops"
"Triglops forficata","scissortail sculpin","scissortail_sculpin","Triglops_forficata"
"Triglops scepticus","spectacled sculpin","spectacled_sculpin","Triglops_scepticus"
"Triglops pingelii","ribbed sculpin","ribbed_sculpin","Triglops_pingelii"
"Triglops macellus","roughspine sculpin","roughspine_sculpin","Triglops_macellus"
"Archistes biseriatus","scaled sculpin","scaled_sculpin","Archistes_biseriatus"
"Microcottus sellaris","brightbelly sculpin","brightbelly_sculpin","Microcottus_sellaris"
"Artedius lateralis","smoothhead sculpin","smoothhead_sculpin","Artedius_lateralis"
"Chitonotus pugetensis","roughback sculpin","roughback_sculpin","Chitonotus_pugetensis"
"Myoxocephalus verrucosus","warty sculpin","warty_sculpin","Myoxocephalus_verrucosus"
"Myoxocephalus niger","warthead sculpin","warthead_sculpin","Myoxocephalus_niger"
"Myoxocephalus polyacanthocephalus","great sculpin","great_sculpin","Myoxocephalus_polyacanthocephalus"
"Myoxocephalus jaok","plain sculpin","plain_sculpin","Myoxocephalus_jaok"
"Myoxocephalus stelleri","frog sculpin","frog_sculpin","Myoxocephalus_stelleri"
"Myoxocephalus","","","Myoxocephalus"
"Megalocottus platycephalus","belligerent sculpin","belligerent_sculpin","Megalocottus_platycephalus"
"Myoxocephalus quadricornis","fourhorn sculpin","fourhorn_sculpin","Myoxocephalus_quadricornis"
"Myoxocephalus scorpioides","Arctic sculpin","Arctic_sculpin","Myoxocephalus_scorpioides"
"Trichocottus brashnikovi","hairhead sculpin","hairhead_sculpin","Trichocottus_brashnikovi"
"Leptocottus armatus","Pacific staghorn sculpin","Pacific_staghorn_sculpin","Leptocottus_armatus"
"Gilbertidia sigalutes","soft sculpin","soft_sculpin","Gilbertidia_sigalutes"
"Enophrys","","","Enophrys"
"Enophrys bison","buffalo sculpin","buffalo_sculpin","Enophrys_bison"
"Enophrys lucasi","leister sculpin","leister_sculpin","Enophrys_lucasi"
"Enophrys diceraus","antlered sculpin","antlered_sculpin","Enophrys_diceraus"
"Enophrys taurina","bull sculpin","bull_sculpin","Enophrys_taurina"
"Dasycottus setiger","spinyhead sculpin","spinyhead_sculpin","Dasycottus_setiger"
"Psychrolutes","","","Psychrolutes"
"Psychrolutes paradoxus","tadpole sculpin","tadpole_sculpin","Psychrolutes_paradoxus"
"Psychrolutes phrictus","blob sculpin","blob_sculpin","Psychrolutes_phrictus"
"Blepsias bilobus","crested sculpin","crested_sculpin","Blepsias_bilobus"
"Blepsias cirrhosus","silverspotted sculpin","silverspotted_sculpin","Blepsias_cirrhosus"
"Nautichthys pribilovius","eyeshade sculpin","eyeshade_sculpin","Nautichthys_pribilovius"
"Nautichthys oculofasciatus","sailfin sculpin","sailfin_sculpin","Nautichthys_oculofasciatus"
"Nautichthys robustus","shortmast sculpin","shortmast_sculpin","Nautichthys_robustus"
"Rhamphocottus richardsoni","grunt sculpin","grunt_sculpin","Rhamphocottus_richardsoni"
"Hemitripterus bolini","bigmouth sculpin","bigmouth_sculpin","Hemitripterus_bolini"
"Eurymen gyrinus","smoothcheek sculpin","smoothcheek_sculpin","Eurymen_gyrinus"
"Triglops xenostethus","scalybreasted sculpin","scalybreasted_sculpin","Triglops_xenostethus"
"Icelinus burchami","dusky sculpin","dusky_sculpin","Icelinus_burchami"
"Icelus spiniger","thorny sculpin","thorny_sculpin","Icelus_spiniger"
"Icelus canaliculatus","blacknose sculpin","blacknose_sculpin","Icelus_canaliculatus"
"Icelus euryops","wide-eye sculpin","wide-eye_sculpin","Icelus_euryops"
"Icelus spatula","spatulate sculpin","spatulate_sculpin","Icelus_spatula"
"Icelus uncinalis","uncinate sculpin","uncinate_sculpin","Icelus_uncinalis"
"Rastrinus scutiger","roughskin sculpin","roughskin_sculpin","Rastrinus_scutiger"
"Jordania zonope","longfin sculpin","longfin_sculpin","Jordania_zonope"
"Icelus","","","Icelus"
"Paricelinus hopliticus","thornback sculpin","thornback_sculpin","Paricelinus_hopliticus"
"Paralabrax nebulifer","barred sand bass","barred_sand_bass","Paralabrax_nebulifer"
"Embiotocidae","surfperch unident.","surfperch_unident.","Embiotocidae"
"Amphistichus argenteus","barred surfperch","barred_surfperch","Amphistichus_argenteus"
"Amphistichus rhodoterus","redtail surfperch","redtail_surfperch","Amphistichus_rhodoterus"
"Hyperprosopon argenteum","walleye surfperch","walleye_surfperch","Hyperprosopon_argenteum"
"Embiotoca lateralis","striped surfperch","striped_surfperch","Embiotoca_lateralis"
"Cymatogaster aggregata","shiner perch","shiner_perch","Cymatogaster_aggregata"
"Hyperprosopon anale","spotfin surfperch","spotfin_surfperch","Hyperprosopon_anale"
"Rhacochilus vacca","pile perch","pile_perch","Rhacochilus_vacca"
"Zalembius rosaceus","pink seaperch","pink_seaperch","Zalembius_rosaceus"
"Trichodon trichodon","Pacific sandfish","Pacific_sandfish","Trichodon_trichodon"
"Chiasmodontidae","swallower unident.","swallower_unident.","Chiasmodontidae"
"Kali indica","shortnose swallower","shortnose_swallower","Kali_indica"
"Chiasmodon niger","black swallower","black_swallower","Chiasmodon_niger"
"Kali normani","needletooth swallower","needletooth_swallower","Kali_normani"
"Pseudoscopelus","","","Pseudoscopelus"
"Gadidae","cod unident.","cod_unident.","Gadidae"
"Microgadus proximus","Pacific tomcod","Pacific_tomcod","Microgadus_proximus"
"Gadus macrocephalus","Pacific cod","Pacific_cod","Gadus_macrocephalus"
"Boreogadus saida","Arctic cod","Arctic_cod","Boreogadus_saida"
"Moridae","codling unident.","codling_unident.","Moridae"
"Halargyreus johnsonii","slender codling","slender_codling","Halargyreus_johnsonii"
"Antimora microlepis","Pacific flatnose","Pacific_flatnose","Antimora_microlepis"
"Physiculus rastrelliger","hundred fathom codling","hundred_fathom_codling","Physiculus_rastrelliger"
"Laemonema longipes","longfin codling","longfin_codling","Laemonema_longipes"
"Eleginus gracilis","saffron cod","saffron_cod","Eleginus_gracilis"
"Gadus chalcogrammus","walleye pollock","walleye_pollock","Gadus_chalcogrammus"
"Gasterosteus aculeatus","threespine stickleback","threespine_stickleback","Gasterosteus_aculeatus"
"Pungitius pungitius","ninespine stickleback","ninespine_stickleback","Pungitius_pungitius"
"Syngnathidae","pipefish or seahorse unident.","pipefish_or_seahorse_unident.","Syngnathidae"
"Gobiidae","goby unident.","goby_unident.","Gobiidae"
"Gonostomatidae","bristlemouth unident.","bristlemouth_unident.","Gonostomatidae"
"Sigmops gracilis","slender fangjaw","slender_fangjaw","Sigmops_gracilis"
"Cyclothone","","","Cyclothone"
"Cyclothone atraria","black bristlemouth","black_bristlemouth","Cyclothone_atraria"
"Cyclothone pseudopallida","slender bristlemouth","slender_bristlemouth","Cyclothone_pseudopallida"
"Cyclothone signata","showy bristlemouth","showy_bristlemouth","Cyclothone_signata"
"Cyclothone acclinidens","benttooth bristlemouth","benttooth_bristlemouth","Cyclothone_acclinidens"
"Gonostoma","","","Gonostoma"
"Sternoptychidae","hatchetfish unident.","hatchetfish_unident.","Sternoptychidae"
"Argyropelecus","","","Argyropelecus"
"Argyropelecus lychnus","tropical hatchetfish","tropical_hatchetfish","Argyropelecus_lychnus"
"Benthalbella","","","Benthalbella"
"Argyropelecus affinis","slender hatchetfish","slender_hatchetfish","Argyropelecus_affinis"
"Sternoptyx diaphana","longspine hatchetfish","longspine_hatchetfish","Sternoptyx_diaphana"
"Sternoptyx","","","Sternoptyx"
"Stomias atriventer","blackbelly dragonfish","blackbelly_dragonfish","Stomias_atriventer"
"Stomiiformes","","","Stomiiformes"
"Stomiidae","barbled dragonfish unident.","barbled_dragonfish_unident.","Stomiidae"
"Pachystomias microdon","","","Pachystomias_microdon"
"Hexagrammidae","greenling unident.","greenling_unident.","Hexagrammidae"
"Ophiodon elongatus","lingcod","lingcod","Ophiodon_elongatus"
"Oxylebius pictus","painted greenling","painted_greenling","Oxylebius_pictus"
"Pleurogrammus monopterygius","Atka mackerel","Atka_mackerel","Pleurogrammus_monopterygius"
"Hexagrammos","","","Hexagrammos"
"Hexagrammos octogrammus","masked greenling","masked_greenling","Hexagrammos_octogrammus"
"Hexagrammos stelleri","whitespotted greenling","whitespotted_greenling","Hexagrammos_stelleri"
"Hexagrammos lagocephalus","rock greenling","rock_greenling","Hexagrammos_lagocephalus"
"Hexagrammos decagrammus","kelp greenling","kelp_greenling","Hexagrammos_decagrammus"
"Zaniolepis latipinnis","longspine combfish","longspine_combfish","Zaniolepis_latipinnis"
"Zaniolepis frenata","shortspine combfish","shortspine_combfish","Zaniolepis_frenata"
"Icosteus aenigmaticus","ragfish","ragfish","Icosteus_aenigmaticus"
"Idiacanthus antrostomus","Pacific blackdragon","Pacific_blackdragon","Idiacanthus_antrostomus"
"Medialuna californiensis","halfmoon","halfmoon","Medialuna_californiensis"
"Cyclopteridae","lumpfish unident.","lumpfish_unident.","Cyclopteridae"
"Cyclopterinae","lumpsucker unident.","lumpsucker_unident.","Cyclopterinae"
"Lethotremus","","","Lethotremus"
"Aptocyclus ventricosus","smooth lumpsucker","smooth_lumpsucker","Aptocyclus_ventricosus"
"Lethotremus muticus","docked snailfish","docked_snailfish","Lethotremus_muticus"
"Eumicrotremus birulai","round lumpsucker","round_lumpsucker","Eumicrotremus_birulai"
"Eumicrotremus orbis","Pacific spiny lumpsucker","Pacific_spiny_lumpsucker","Eumicrotremus_orbis"
"Eumicrotremus derjugini","leatherfin lumpsucker","leatherfin_lumpsucker","Eumicrotremus_derjugini"
"Eumicrotremus gyrinops","Alaskan lumpsucker","Alaskan_lumpsucker","Eumicrotremus_gyrinops"
"Eumicrotremus andriashevi","pimpled lumpsucker","pimpled_lumpsucker","Eumicrotremus_andriashevi"
"Eumicrotremus","spiny lumpsuckers","spiny_lumpsuckers","Eumicrotremus"
"Eumicrotremus barbatus","papillose lumpsucker","papillose_lumpsucker","Eumicrotremus_barbatus"
"Eumicrotremus phrynoides","toad lumpsucker","toad_lumpsucker","Eumicrotremus_phrynoides"
"Liparidae","snailfish unident.","snailfish_unident.","Liparidae"
"Liparis","","","Liparis"
"Liparis fucensis","slipskin snailfish","slipskin_snailfish","Liparis_fucensis"
